20
4
8 12 3 11
  # |       Prestamo |      Necesidad |        Demanda | Efectivo | Capital |    Estado |
  1 |     0  0  0  1 |     8 12  3 11 |     8 12  3 10 |       19 |      20 |    Seguro |
  2 |     0  0  1  1 |     8 12  3 11 |     8 12  2 10 |       18 |      20 |    Seguro |
  3 |     0  1  1  1 |     8 12  3 11 |     8 11  2 10 |       17 |      20 |    Seguro |
  4 |     0  1  1  2 |     8 12  3 11 |     8 11  2  9 |       16 |      20 |    Seguro |
  5 |     0  2  1  2 |     8 12  3 11 |     8 10  2  9 |       15 |      20 |    Seguro |
  6 |     0  2  1  3 |     8 12  3 11 |     8 10  2  8 |       14 |      20 |    Seguro |
  7 |     0  2  2  3 |     8 12  3 11 |     8 10  1  8 |       13 |      20 |    Seguro |
  8 |     1  2  2  3 |     8 12  3 11 |     7 10  1  8 |       12 |      20 |    Seguro |
  9 |     1  3  2  3 |     8 12  3 11 |     7  9  1  8 |       11 |      20 |    Seguro |
 10 |     1  4  2  3 |     8 12  3 11 |     7  8  1  8 |       10 |      20 |    Seguro |
 11 |     1  4  3  3 |     8 12  3 11 |     7  8  0  8 |        9 |      20 |    Seguro |
 12 |     1  4  3  4 |     8 12  3 11 |     7  8  0  7 |        8 |      20 |    Seguro |
 13 |     1  4  0  4 |     8 12  0 11 |     7  8  0  7 |       11 |      20 |    Seguro |
 14 |     1  4  0  5 |     8 12  0 11 |     7  8  0  6 |       10 |      20 |    Seguro |
 15 |     1  4  0  6 |     8 12  0 11 |     7  8  0  5 |        9 |      20 |    Seguro |
 16 |     1  4  0  6 |     8 12  0 11 |     7  8  0  5 |        9 |      20 |    Seguro |
 17 |     2  4  0  6 |     8 12  0 11 |     6  8  0  5 |        8 |      20 |    Seguro |
 18 |     2  4  0  6 |     8 12  0 11 |     6  8  0  5 |        8 |      20 |    Seguro |
 19 |     3  4  0  6 |     8 12  0 11 |     5  8  0  5 |        7 |      20 |    Seguro |
 20 |     4  4  0  6 |     8 12  0 11 |     4  8  0  5 |        6 |      20 |    Seguro |
 21 |     4  4  0  7 |     8 12  0 11 |     4  8  0  4 |        5 |      20 |    Seguro |
 22 |     5  4  0  7 |     8 12  0 11 |     3  8  0  4 |        4 |      20 |    Seguro |
 23 |     5  4  0  8 |     8 12  0 11 |     3  8  0  3 |        3 |      20 |    Seguro |
 24 |     5  5  0  8 |     8 12  0 11 |     3  7  0  3 |        2 |      20 | No Seguro |
 25 |     5  4  0  8 |     8 12  0 11 |     3  8  0  3 |        3 |      20 |    Seguro |
 26 |     5  4  0  8 |     8 12  0 11 |     3  8  0  3 |        3 |      20 |    Seguro |
 27 |     5  4  0  8 |     8 12  0 11 |     3  8  0  3 |        3 |      20 |    Seguro |
 28 |     5  4  0  9 |     8 12  0 11 |     3  8  0  2 |        2 |      20 |    Seguro |
 29 |     5  4  0 10 |     8 12  0 11 |     3  8  0  1 |        1 |      20 |    Seguro |
 30 |     5  4  0 11 |     8 12  0 11 |     3  8  0  0 |        0 |      20 |    Seguro |
 31 |     5  5  0 11 |     8 12  0 11 |     3  7  0  0 |       -1 |      20 | No Seguro |
 32 |     5  4  0 11 |     8 12  0 11 |     3  8  0  0 |        0 |      20 |    Seguro |
 33 |     5  4  0 11 |     8 12  0 11 |     3  8  0  0 |        0 |      20 |    Seguro |
 34 |     5  4  0 11 |     8 12  0 11 |     3  8  0  0 |        0 |      20 |    Seguro |
 35 |     5  5  0 11 |     8 12  0 11 |     3  7  0  0 |       -1 |      20 | No Seguro |
 36 |     5  4  0  0 |     8 12  0  0 |     3  8  0  0 |       11 |      20 |    Seguro |
 37 |     5  5  0  0 |     8 12  0  0 |     3  7  0  0 |       10 |      20 |    Seguro |
 38 |     6  5  0  0 |     8 12  0  0 |     2  7  0  0 |        9 |      20 |    Seguro |
 39 |     6  5  0  0 |     8 12  0  0 |     2  7  0  0 |        9 |      20 |    Seguro |
 40 |     6  5  0  0 |     8 12  0  0 |     2  7  0  0 |        9 |      20 |    Seguro |
 41 |     6  6  0  0 |     8 12  0  0 |     2  6  0  0 |        8 |      20 |    Seguro |
 42 |     6  7  0  0 |     8 12  0  0 |     2  5  0  0 |        7 |      20 |    Seguro |
 43 |     6  8  0  0 |     8 12  0  0 |     2  4  0  0 |        6 |      20 |    Seguro |
 44 |     6  8  0  0 |     8 12  0  0 |     2  4  0  0 |        6 |      20 |    Seguro |
 45 |     7  8  0  0 |     8 12  0  0 |     1  4  0  0 |        5 |      20 |    Seguro |
 46 |     7  9  0  0 |     8 12  0  0 |     1  3  0  0 |        4 |      20 |    Seguro |
 47 |     7  9  0  0 |     8 12  0  0 |     1  3  0  0 |        4 |      20 |    Seguro |
 48 |     8  9  0  0 |     8 12  0  0 |     0  3  0  0 |        3 |      20 |    Seguro |
 49 |     8  9  0  0 |     8 12  0  0 |     0  3  0  0 |        3 |      20 |    Seguro |
 50 |     8  9  0  0 |     8 12  0  0 |     0  3  0  0 |        3 |      20 |    Seguro |
 51 |     8 10  0  0 |     8 12  0  0 |     0  2  0  0 |        2 |      20 |    Seguro |
 52 |     8 10  0  0 |     8 12  0  0 |     0  2  0  0 |        2 |      20 |    Seguro |
 53 |     8 10  0  0 |     8 12  0  0 |     0  2  0  0 |        2 |      20 |    Seguro |
 54 |     0 10  0  0 |     0 12  0  0 |     0  2  0  0 |       10 |      20 |    Seguro |
 55 |     0 10  0  0 |     0 12  0  0 |     0  2  0  0 |       10 |      20 |    Seguro |
 56 |     0 11  0  0 |     0 12  0  0 |     0  1  0  0 |        9 |      20 |    Seguro |
 57 |     0 11  0  0 |     0 12  0  0 |     0  1  0  0 |        9 |      20 |    Seguro |
 58 |     0 11  0  0 |     0 12  0  0 |     0  1  0  0 |        9 |      20 |    Seguro |
 59 |     0 11  0  0 |     0 12  0  0 |     0  1  0  0 |        9 |      20 |    Seguro |
 60 |     0 12  0  0 |     0 12  0  0 |     0  0  0  0 |        8 |      20 |    Seguro |
 61 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 62 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 63 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 64 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 65 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 66 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 67 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 68 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 69 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 70 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 71 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 72 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 73 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 74 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 75 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 76 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 77 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 78 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 79 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 80 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 81 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 82 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 83 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 84 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 85 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 86 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 87 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 88 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 89 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 90 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 91 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 92 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 93 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 94 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 95 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
 96 |     0  0  0  0 |     0  0  0  0 |     0  0  0  0 |       20 |      20 |    Seguro |
